timeframe,config,vol_bucket,%TRADE,%BUY,%SELL
4h,h3_t0.25_raw,1,0.0,0.0,0.0
4h,h3_t0.25_raw,2,0.0,0.0,0.0
4h,h3_t0.25_raw,3,0.0,0.0,0.0
4h,h3_t0.25_raw,4,0.0,0.0,0.0
4h,h3_t0.25_raw,5,0.0,0.0,0.0
4h,h3_t0.5_voladj,1,52.1,28.0,24.1
4h,h3_t0.5_voladj,2,51.6,25.7,26.0
4h,h3_t0.5_voladj,3,48.4,24.8,23.6
4h,h3_t0.5_voladj,4,47.4,25.1,22.3
4h,h3_t0.5_voladj,5,48.4,27.2,21.2
4h,h3_t0.5_raw,1,0.0,0.0,0.0
4h,h3_t0.5_raw,2,0.0,0.0,0.0
4h,h3_t0.5_raw,3,0.0,0.0,0.0
4h,h3_t0.5_raw,4,0.0,0.0,0.0
4h,h3_t0.5_raw,5,0.0,0.0,0.0
4h,h3_t0.75_voladj,1,38.4,20.3,18.1
4h,h3_t0.75_voladj,2,36.7,18.3,18.4
4h,h3_t0.75_voladj,3,34.3,17.4,16.9
4h,h3_t0.75_voladj,4,33.5,17.4,16.1
4h,h3_t0.75_voladj,5,33.5,19.0,14.5
4h,h3_t0.75_raw,1,0.0,0.0,0.0
4h,h3_t0.75_raw,2,0.0,0.0,0.0
4h,h3_t0.75_raw,3,0.0,0.0,0.0
4h,h3_t0.75_raw,4,0.0,0.0,0.0
4h,h3_t0.75_raw,5,0.0,0.0,0.0
4h,h3_t1.0_voladj,1,28.4,15.2,13.2
4h,h3_t1.0_voladj,2,27.0,13.6,13.4
4h,h3_t1.0_voladj,3,24.3,12.2,12.0
4h,h3_t1.0_voladj,4,23.8,12.5,11.3
4h,h3_t1.0_voladj,5,21.7,12.3,9.4
4h,h3_t1.0_raw,1,0.0,0.0,0.0
4h,h3_t1.0_raw,2,0.0,0.0,0.0
4h,h3_t1.0_raw,3,0.0,0.0,0.0
4h,h3_t1.0_raw,4,0.0,0.0,0.0
4h,h3_t1.0_raw,5,0.0,0.0,0.0
4h,h4_t0.25_voladj,1,72.0,37.9,34.0
4h,h4_t0.25_voladj,2,73.2,36.3,36.9
4h,h4_t0.25_voladj,3,71.2,35.6,35.6
4h,h4_t0.25_voladj,4,70.5,38.0,32.6
4h,h4_t0.25_voladj,5,72.2,39.6,32.6
4h,h4_t0.25_raw,1,0.0,0.0,0.0
4h,h4_t0.25_raw,2,0.0,0.0,0.0
4h,h4_t0.25_raw,3,0.0,0.0,0.0
4h,h4_t0.25_raw,4,0.0,0.0,0.0
4h,h4_t0.25_raw,5,0.0,0.0,0.0
4h,h4_t0.5_voladj,1,53.5,28.7,24.8
4h,h4_t0.5_voladj,2,52.4,26.2,26.2
4h,h4_t0.5_voladj,3,50.7,25.5,25.2
4h,h4_t0.5_voladj,4,49.1,26.5,22.6
4h,h4_t0.5_voladj,5,49.6,27.6,22.1
4h,h4_t0.5_raw,1,0.0,0.0,0.0
4h,h4_t0.5_raw,2,0.0,0.0,0.0
4h,h4_t0.5_raw,3,0.0,0.0,0.0
4h,h4_t0.5_raw,4,0.0,0.0,0.0
4h,h4_t0.5_raw,5,0.0,0.0,0.0
4h,h4_t0.75_voladj,1,39.9,21.8,18.1
4h,h4_t0.75_voladj,2,38.5,19.4,19.1
4h,h4_t0.75_voladj,3,35.7,17.7,18.0
4h,h4_t0.75_voladj,4,35.2,18.8,16.3
4h,h4_t0.75_voladj,5,31.7,17.9,13.8
4h,h4_t0.75_raw,1,0.0,0.0,0.0
4h,h4_t0.75_raw,2,0.0,0.0,0.0
4h,h4_t0.75_raw,3,0.0,0.0,0.0
4h,h4_t0.75_raw,4,0.0,0.0,0.0
4h,h4_t0.75_raw,5,0.0,0.0,0.0
4h,h4_t1.0_voladj,1,30.2,17.2,13.0
4h,h4_t1.0_voladj,2,29.2,14.9,14.3
4h,h4_t1.0_voladj,3,24.4,11.9,12.5
4h,h4_t1.0_voladj,4,24.3,13.1,11.2
4h,h4_t1.0_voladj,5,21.9,12.4,9.5
4h,h4_t1.0_raw,1,0.0,0.0,0.0
4h,h4_t1.0_raw,2,0.0,0.0,0.0
4h,h4_t1.0_raw,3,0.0,0.0,0.0
4h,h4_t1.0_raw,4,0.0,0.0,0.0
4h,h4_t1.0_raw,5,0.0,0.0,0.0
4h,h5_t0.25_voladj,1,72.9,38.4,34.5
4h,h5_t0.25_voladj,2,72.7,36.2,36.5
4h,h5_t0.25_voladj,3,71.2,35.9,35.4
4h,h5_t0.25_voladj,4,70.9,37.7,33.2
4h,h5_t0.25_voladj,5,71.4,39.2,32.2
4h,h5_t0.25_raw,1,0.0,0.0,0.0
4h,h5_t0.25_raw,2,0.0,0.0,0.0
4h,h5_t0.25_raw,3,0.0,0.0,0.0
4h,h5_t0.25_raw,4,0.0,0.0,0.0
4h,h5_t0.25_raw,5,0.1,0.0,0.1
4h,h5_t0.5_voladj,1,55.1,29.7,25.4
4h,h5_t0.5_voladj,2,53.7,26.4,27.3
4h,h5_t0.5_voladj,3,52.3,25.9,26.4
4h,h5_t0.5_voladj,4,50.6,27.6,23.0
4h,h5_t0.5_voladj,5,49.7,28.0,21.6
4h,h5_t0.5_raw,1,0.0,0.0,0.0
4h,h5_t0.5_raw,2,0.0,0.0,0.0
4h,h5_t0.5_raw,3,0.0,0.0,0.0
4h,h5_t0.5_raw,4,0.0,0.0,0.0
4h,h5_t0.5_raw,5,0.0,0.0,0.0
4h,h5_t0.75_voladj,1,41.4,22.7,18.7
4h,h5_t0.75_voladj,2,39.9,20.2,19.7
4h,h5_t0.75_voladj,3,36.6,18.1,18.5
4h,h5_t0.75_voladj,4,35.4,19.0,16.4
4h,h5_t0.75_voladj,5,33.2,18.9,14.2
4h,h5_t0.75_raw,1,0.0,0.0,0.0
4h,h5_t0.75_raw,2,0.0,0.0,0.0
4h,h5_t0.75_raw,3,0.0,0.0,0.0
4h,h5_t0.75_raw,4,0.0,0.0,0.0
4h,h5_t0.75_raw,5,0.0,0.0,0.0
4h,h5_t1.0_voladj,1,30.7,17.3,13.4
4h,h5_t1.0_voladj,2,30.6,15.4,15.2
4h,h5_t1.0_voladj,3,24.6,11.9,12.7
4h,h5_t1.0_voladj,4,24.5,13.0,11.5
4h,h5_t1.0_voladj,5,23.1,13.7,9.4
4h,h5_t1.0_raw,1,0.0,0.0,0.0
4h,h5_t1.0_raw,2,0.0,0.0,0.0
4h,h5_t1.0_raw,3,0.0,0.0,0.0
4h,h5_t1.0_raw,4,0.0,0.0,0.0
4h,h5_t1.0_raw,5,0.0,0.0,0.0
4h,h6_t0.25_voladj,1,73.5,38.9,34.6
4h,h6_t0.25_voladj,2,73.6,37.2,36.4
4h,h6_t0.25_voladj,3,73.6,37.0,36.6
4h,h6_t0.25_voladj,4,71.8,38.1,33.7
4h,h6_t0.25_voladj,5,72.1,40.1,32.0
4h,h6_t0.25_raw,1,0.0,0.0,0.0
4h,h6_t0.25_raw,2,0.0,0.0,0.0
4h,h6_t0.25_raw,3,0.0,0.0,0.0
4h,h6_t0.25_raw,4,0.0,0.0,0.0
4h,h6_t0.25_raw,5,0.1,0.0,0.1
4h,h6_t0.5_voladj,1,55.3,29.9,25.4
4h,h6_t0.5_voladj,2,54.6,26.9,27.7
4h,h6_t0.5_voladj,3,53.2,26.6,26.6
4h,h6_t0.5_voladj,4,50.7,27.1,23.6
4h,h6_t0.5_voladj,5,49.9,28.3,21.6
4h,h6_t0.5_raw,1,0.0,0.0,0.0
4h,h6_t0.5_raw,2,0.0,0.0,0.0
4h,h6_t0.5_raw,3,0.0,0.0,0.0
4h,h6_t0.5_raw,4,0.0,0.0,0.0
4h,h6_t0.5_raw,5,0.0,0.0,0.0
4h,h6_t0.75_voladj,1,42.4,23.5,18.9
4h,h6_t0.75_voladj,2,40.7,20.6,20.1
4h,h6_t0.75_voladj,3,37.0,17.6,19.4
4h,h6_t0.75_voladj,4,35.3,19.2,16.2
4h,h6_t0.75_voladj,5,34.2,19.7,14.5
4h,h6_t0.75_raw,1,0.0,0.0,0.0
4h,h6_t0.75_raw,2,0.0,0.0,0.0
4h,h6_t0.75_raw,3,0.0,0.0,0.0
4h,h6_t0.75_raw,4,0.0,0.0,0.0
4h,h6_t0.75_raw,5,0.0,0.0,0.0
4h,h6_t1.0_voladj,1,32.1,18.6,13.5
4h,h6_t1.0_voladj,2,31.7,15.8,15.9
4h,h6_t1.0_voladj,3,25.3,12.4,12.9
4h,h6_t1.0_voladj,4,24.2,13.1,11.0
4h,h6_t1.0_voladj,5,23.0,13.7,9.2
4h,h6_t1.0_raw,1,0.0,0.0,0.0
4h,h6_t1.0_raw,2,0.0,0.0,0.0
4h,h6_t1.0_raw,3,0.0,0.0,0.0
4h,h6_t1.0_raw,4,0.0,0.0,0.0
4h,h6_t1.0_raw,5,0.0,0.0,0.0
