timeframe,config,regime,%TRADE,%BUY,%SELL
4h,h4_t0.25_voladj,bear,70.8,37.4,33.4
4h,h4_t0.25_voladj,sideways,72.3,37.1,35.2
4h,h4_t0.25_voladj,crisis,72.2,39.7,32.5
4h,h4_t0.25_raw,bull,0.0,0.0,0.0
4h,h4_t0.25_raw,bear,0.0,0.0,0.0
4h,h4_t0.25_raw,sideways,0.0,0.0,0.0
4h,h4_t0.25_raw,crisis,0.0,0.0,0.0
4h,h4_t0.5_voladj,bull,51.2,27.3,23.9
4h,h4_t0.5_voladj,bear,50.8,26.3,24.5
4h,h4_t0.5_voladj,sideways,51.5,26.8,24.7
4h,h4_t0.5_voladj,crisis,48.9,27.0,21.9
4h,h4_t0.5_raw,bull,0.0,0.0,0.0
4h,h4_t0.5_raw,bear,0.0,0.0,0.0
4h,h4_t0.5_raw,sideways,0.0,0.0,0.0
4h,h4_t0.5_raw,crisis,0.0,0.0,0.0
4h,h4_t0.75_voladj,bull,37.1,20.7,16.4
4h,h4_t0.75_voladj,bear,36.6,18.6,18.1
4h,h4_t0.75_voladj,sideways,36.4,18.6,17.8
4h,h4_t0.75_voladj,crisis,31.3,17.3,14.0
4h,h4_t0.75_raw,bull,0.0,0.0,0.0
4h,h4_t0.75_raw,bear,0.0,0.0,0.0
4h,h4_t0.75_raw,sideways,0.0,0.0,0.0
4h,h4_t0.75_raw,crisis,0.0,0.0,0.0
4h,h4_t1.0_voladj,bull,26.4,15.5,10.9
4h,h4_t1.0_voladj,bear,26.2,12.6,13.6
4h,h4_t1.0_voladj,sideways,26.9,14.0,12.9
4h,h4_t1.0_voladj,crisis,20.9,11.6,9.3
4h,h4_t1.0_raw,bull,0.0,0.0,0.0
4h,h4_t1.0_raw,bear,0.0,0.0,0.0
4h,h4_t1.0_raw,sideways,0.0,0.0,0.0
4h,h4_t1.0_raw,crisis,0.0,0.0,0.0
4h,h5_t0.25_voladj,bull,72.1,37.6,34.5
4h,h5_t0.25_voladj,bear,70.5,37.4,33.1
4h,h5_t0.25_voladj,sideways,72.2,36.9,35.3
4h,h5_t0.25_voladj,crisis,71.9,39.3,32.6
4h,h5_t0.25_raw,bull,0.0,0.0,0.0
4h,h5_t0.25_raw,bear,0.1,0.0,0.1
4h,h5_t0.25_raw,sideways,0.0,0.0,0.0
4h,h5_t0.25_raw,crisis,0.0,0.0,0.0
4h,h5_t0.5_voladj,bull,53.4,29.1,24.3
4h,h5_t0.5_voladj,bear,51.2,26.3,24.9
4h,h5_t0.5_voladj,sideways,52.6,26.9,25.7
4h,h5_t0.5_voladj,crisis,49.3,27.5,21.8
4h,h5_t0.5_raw,bull,0.0,0.0,0.0
4h,h5_t0.5_raw,bear,0.0,0.0,0.0
4h,h5_t0.5_raw,sideways,0.0,0.0,0.0
4h,h5_t0.5_raw,crisis,0.0,0.0,0.0
4h,h5_t0.75_voladj,bull,38.3,21.5,16.9
4h,h5_t0.75_voladj,bear,37.0,18.2,18.7
4h,h5_t0.75_voladj,sideways,38.2,19.8,18.4
4h,h5_t0.75_voladj,crisis,31.2,18.0,13.2
4h,h5_t0.75_raw,bull,0.0,0.0,0.0
4h,h5_t0.75_raw,bear,0.0,0.0,0.0
4h,h5_t0.75_raw,sideways,0.0,0.0,0.0
4h,h5_t0.75_raw,crisis,0.0,0.0,0.0
4h,h5_t1.0_voladj,bull,27.6,15.8,11.7
4h,h5_t1.0_voladj,bear,26.4,12.8,13.6
4h,h5_t1.0_voladj,sideways,27.6,14.2,13.4
4h,h5_t1.0_voladj,crisis,21.2,13.0,8.2
4h,h5_t1.0_raw,bull,0.0,0.0,0.0
4h,h5_t1.0_raw,bear,0.0,0.0,0.0
4h,h5_t1.0_raw,sideways,0.0,0.0,0.0
4h,h5_t1.0_raw,crisis,0.0,0.0,0.0
4h,h6_t0.25_voladj,bull,73.7,38.9,34.8
4h,h6_t0.25_voladj,bear,72.1,37.8,34.2
4h,h6_t0.25_voladj,sideways,72.9,37.6,35.4
4h,h6_t0.25_voladj,crisis,71.2,39.2,32.1
4h,h6_t0.25_raw,bull,0.0,0.0,0.0
4h,h6_t0.25_raw,bear,0.1,0.0,0.1
4h,h6_t0.25_raw,sideways,0.0,0.0,0.0
4h,h6_t0.25_raw,crisis,0.0,0.0,0.0
4h,h6_t0.5_voladj,bull,53.6,28.9,24.7
4h,h6_t0.5_voladj,bear,52.0,26.6,25.4
4h,h6_t0.5_voladj,sideways,53.3,27.5,25.8
4h,h6_t0.5_voladj,crisis,49.3,27.6,21.7
4h,h6_t0.5_raw,bull,0.0,0.0,0.0
4h,h6_t0.5_raw,bear,0.0,0.0,0.0
4h,h6_t0.5_raw,sideways,0.0,0.0,0.0
4h,h6_t0.5_raw,crisis,0.0,0.0,0.0
4h,h6_t0.75_voladj,bull,39.3,21.9,17.4
4h,h6_t0.75_voladj,bear,37.0,18.5,18.6
4h,h6_t0.75_voladj,sideways,39.0,20.1,18.9
4h,h6_t0.75_voladj,crisis,31.6,18.6,13.0
4h,h6_t0.75_raw,bull,0.0,0.0,0.0
4h,h6_t0.75_raw,bear,0.0,0.0,0.0
4h,h6_t0.75_raw,sideways,0.0,0.0,0.0
4h,h6_t0.75_raw,crisis,0.0,0.0,0.0
4h,h6_t1.0_voladj,bull,28.8,16.5,12.4
4h,h6_t1.0_voladj,bear,27.2,13.3,13.9
4h,h6_t1.0_voladj,sideways,28.0,14.9,13.2
4h,h6_t1.0_voladj,crisis,19.5,12.3,7.3
4h,h6_t1.0_raw,bull,0.0,0.0,0.0
4h,h6_t1.0_raw,bear,0.0,0.0,0.0
4h,h6_t1.0_raw,sideways,0.0,0.0,0.0
4h,h6_t1.0_raw,crisis,0.0,0.0,0.0
