regime,n_signals,win_rate,profit_factor,avg_confidence,avg_uncertainty
RANGING,47801,0.9999,11949.25,0.9726,0.0
TRENDING,34917,0.9941,169.3268,0.9549,0.0
VOLATILE,1377,0.9252,12.3689,0.8534,0.0
